traj_id,url,smoothness,path_length,max_acc,r_wrist_roll_link_length,r_wrist_roll_link_smoothness,r_wrist_roll_link_max_curvature,r_wrist_roll_link_h_traj_line,r_wrist_roll_link_h_line_traj,r_wrist_roll_link_H_traj_line,r_wrist_roll_link_imh_traj_line,r_wrist_roll_link_DTW,r_wrist_roll_link_lin_acc,r_elbow_flex_link_length,r_elbow_flex_link_smoothness,r_elbow_flex_link_max_curvature,r_elbow_flex_link_h_traj_line,r_elbow_flex_link_h_line_traj,r_elbow_flex_link_H_traj_line,r_elbow_flex_link_imh_traj_line,r_elbow_flex_link_DTW,r_elbow_flex_link_lin_acc,maxmin_joint_limit_distance
2014_Sep_17_18_38_40,http://www.youtube.com/watch?v=ywg2lbEDRdk,0.621492,19.6869,0.70468,2.00388,0.724533,1.20523,1.40343,0.971657,1.40343,0.88176,0.683324,2.15043,1.22806,0.514756,0.610636,1.30526,1.05363,1.30526,0.909488,0.713803,1.28644,0.499765
2014_Sep_17_18_38_41,http://www.youtube.com/watch?v=kNImX34xGlM,0.819735,4.28962,0.215003,0.751975,0.873202,0.603769,1.04778,1.18265,1.18265,0.850652,0.839667,2.58341,0.443853,0.178167,0.659107,1.09385,1.13127,1.13127,0.881453,0.791347,0.644125,0.422552
2014_Sep_17_18_38_42,http://www.youtube.com/watch?v=yo47Wg-43iA,0.991425,5.76591,0.331712,0.703859,0.514848,0.669503,1.04771,1.18265,1.18265,0.826486,0.801093,1.34299,0.469796,0.123295,0.619168,1.09364,1.13127,1.13127,0.897826,0.799005,0.742935,0.496883
2014_Sep_17_18_38_43,http://www.youtube.com/watch?v=zba9snrwivQ,0.662493,15.5075,1.09337,0.659613,1.06823,1.57252,0.454476,0.45013,0.454476,0.266279,0.76907,2.31356,0.683201,1.50676,0.607345,0.460206,0.742835,0.742835,0.341108,0.742637,0.663667,0.499813
2014_Sep_17_18_38_44,http://www.youtube.com/watch?v=fvNdPGMSAkc,0.753948,19.6176,1.63204,1.4741,0.938473,1.61752,1.06753,0.972213,1.06753,0.827357,0.768387,2.67925,1.13806,1.01111,0.658446,1.17654,1.28877,1.28877,1.06588,0.882462,0.665076,0.498738
2014_Sep_17_18_38_45,http://www.youtube.com/watch?v=XHKtT-_IKXM,0.799054,7.31504,0.209073,1.20215,0.981999,0.687528,1.04028,0.93799,1.04028,0.688266,0.651155,5.48697,0.560139,0.702701,0.475642,1.14263,1.21613,1.21613,0.941231,0.76319,0.475374,0.489426
2014_Sep_17_18_38_46,http://www.youtube.com/watch?v=Q9KFer6XUZ8,0.868955,5.17625,0.142181,0.833124,0.938563,0.708414,1.04027,1.07085,1.07085,0.769687,0.696909,2.49477,0.334805,0.350784,0.518541,1.14224,1.35172,1.35172,0.996297,0.787608,0.451246,0.349268
2014_Sep_17_18_38_47,http://www.youtube.com/watch?v=EpgrjVE9q68,0.133568,17.702,1.15331,1.21601,0.52582,2.33458,0.792913,0.769793,0.792913,0.484524,0.66675,2.27798,0.971268,0.198881,0.55946,0.952465,0.980059,0.980059,0.702058,0.813865,0.745712,0.478789
2014_Sep_17_18_38_48,http://www.youtube.com/watch?v=gq8lbrHBlk0,0.577375,11.7789,0.368218,0.880944,0.613948,0.478933,0.582438,0.839641,0.839641,0.401248,0.600242,1.2206,0.57296,0.236475,0.614657,0.768259,0.980059,0.980059,0.617548,0.761296,0.477122,0.478789
2014_Sep_17_18_38_49,http://www.youtube.com/watch?v=YIGkNbJBNoc,0.868984,21.21,0.807772,1.70301,1.1477,1.23892,17.516,16.9197,17.516,17.0404,0.967417,5.39322,1.28065,1.24652,0.553645,17.3494,17.107,17.3494,17.1609,0.983141,1.3772,0.497701
2014_Sep_17_18_38_50,http://www.youtube.com/watch?v=Y4F6Z7XDcvg,0.553005,15.9597,0.655618,1.5126,0.586903,7.01666,17.4261,16.8089,17.4261,16.9736,0.965499,0.837399,1.44922,0.932461,0.606505,17.3697,16.9995,17.3697,17.1321,0.976824,0.872018,0.495719
2014_Sep_17_18_38_51,http://www.youtube.com/watch?v=gMcOJlcKbwE,0.34623,15.4529,0.144723,1.97725,0.674877,4.2514,2.96287,2.39907,2.96287,2.63442,0.870159,2.03827,1.25704,0.469052,0.628432,2.82225,2.58034,2.82225,2.68428,0.929052,0.433523,0.450393
2014_Sep_17_18_38_52,http://www.youtube.com/watch?v=DqTFbKSMj4k,0.372158,20.365,1.59572,1.76312,0.72959,3.1218,2.90263,2.36768,2.90263,2.56202,0.856852,3.32968,1.39339,0.920247,0.550997,2.79937,2.51711,2.79937,2.61494,0.932691,1.08313,0.498492
2014_Sep_17_18_38_53,http://www.youtube.com/watch?v=rsgVi1h-REU,0.486651,17.508,0.156794,2.35899,0.70623,1.59949,2.87949,2.20446,2.87949,2.39608,0.807861,2.47566,1.47045,0.743429,0.554635,2.79179,2.51788,2.79179,2.53551,0.905518,0.431582,0.482823
2014_Sep_17_18_38_54,http://www.youtube.com/watch?v=dA60SM3BTp4,0.277012,16.305,0.212866,1.75729,0.70331,0.588116,2.88802,2.22701,2.88802,2.51661,0.843176,1.52168,1.05518,0.370924,0.578062,2.76173,2.51756,2.76173,2.59104,0.925277,0.45416,0.498388
2014_Sep_17_18_38_55,http://www.youtube.com/watch?v=7lNf-qvsGb8,6.21725e-16,1.93872,0.139692,0.263972,0.00537498,0.930094,0.869068,1.02961,1.02961,0.791847,0.849903,0.926825,0.168751,0.00529786,0.602388,1.16047,1.31582,1.31582,1.09222,0.863886,0.385478,0.489462
2014_Sep_17_18_38_56,http://www.youtube.com/watch?v=_42KB11RYDM,2.66454e-16,1.91933,0.218078,0.263784,0.00536491,0.928971,0.868798,1.02961,1.02961,0.791715,0.849803,1.44223,0.16847,0.00527521,0.601767,1.16013,1.31582,1.31582,1.09205,0.863773,0.596783,0.490775
2014_Sep_17_18_38_57,http://www.youtube.com/watch?v=TVv9ObLSVno,6.21725e-16,1.90992,0.22885,0.264383,0.00539344,0.908365,1.42516,1.45926,1.45926,1.29597,0.918742,1.52692,0.169815,0.00536592,0.583624,1.55222,1.67025,1.67025,1.46984,0.883237,0.638643,0.487842
