traj_id,url,clearance,smoothness,path_length,max_acc,maxmin_joint_limit_distance,elbow_length,elbow_smoothness,elbow_max_curvature,elbow_lin_acc,elbow_quat_dist,tool_length,tool_smoothness,tool_max_curvature,tool_lin_acc,tool_quat_dist,wrist_length,wrist_smoothness,wrist_max_curvature,wrist_lin_acc,wrist_quat_dist,h_wrist_bfs,h_bfs_wrist,H_wrist_bfs,imh_wrist_bfs,h_elbow_bfs,h_bfs_elbow,H_elbow_bfs,imh_elbow_bfs,h_tool_bfs,h_bfs_tool,H_tool_bfs,imh_tool_bfs,h_wrist_elbow,h_elbow_wrist,H_wrist_elbow,imh_wrist_elbow,wrist_bfs_dtw,tool_bfs_dtw,elbow_bfs_dtw,wrist_tool_dtw
2014_Sep_17_18_38_40,http://www.youtube.com/watch?v=ywg2lbEDRdk,0.0767461,0.621492,19.6869,1.44371,0.499765,1.22806,0.514756,0.522536,1.28644,4.25955,2.76092,0.886822,1.40877,5.00081,9.66085,2.00388,0.724533,1.20443,6.18302,9.66085,0.660018,0.226201,0.660018,0.279454,0.539573,0.386749,0.539573,0.236978,0.672033,0.326911,0.672033,0.305709,0.321,0.321,0.321,0.278527,23.0565,25.1716,26.3275,13.8448
2014_Sep_17_18_38_41,http://www.youtube.com/watch?v=kNImX34xGlM,0.0660168,0.819735,4.28962,0.681413,0.422552,0.443853,0.178167,0.490182,0.644125,2.06769,0.990336,1.02512,0.796117,9.77172,1.9692,0.751975,0.873202,0.603769,6.81836,1.9692,0.333279,0.217811,0.333279,0.202132,0.34895,0.398024,0.398024,0.191952,0.300328,0.241049,0.300328,0.186138,0.321,0.321,0.321,0.272901,3.41785,3.35246,4.29538,2.86899
2014_Sep_17_18_38_42,http://www.youtube.com/watch?v=yo47Wg-43iA,0.0657998,0.991425,5.76591,1.71165,0.496883,0.469796,0.123295,0.503909,2.30819,1.68813,1.05064,0.895885,0.751547,5.76953,3.13122,0.703859,0.514848,0.582949,4.52164,3.13122,0.307212,0.237504,0.307212,0.20017,0.348521,0.398024,0.398024,0.177093,0.307738,0.239867,0.307738,0.17771,0.321,0.321,0.321,0.266387,4.73012,4.71678,6.64453,3.96
2014_Sep_17_18_38_43,http://www.youtube.com/watch?v=zba9snrwivQ,0.0362367,0.662493,15.5075,1.09337,0.499813,0.683201,1.50676,0.607345,1.19537,2.82842,1.21876,0.63073,0.763181,2.33135,7.11241,0.659613,1.06823,1.57252,2.31356,7.11241,0.156425,0.176872,0.176872,0.102766,0.424149,0.446395,0.446395,0.358372,0.218311,0.185953,0.218311,0.148156,0.321,0.321,0.321,0.288986,8.63306,9.51221,24.8887,10.9732
2014_Sep_17_18_38_44,http://www.youtube.com/watch?v=fvNdPGMSAkc,0.042808,0.753948,19.6176,1.72329,0.498738,1.13806,1.01111,0.658446,1.48765,4.00026,2.33687,1.04464,1.98685,12.4251,9.23207,1.4741,0.938473,1.61752,3.30831,9.23207,0.283927,0.191783,0.283927,0.147407,0.478734,0.438722,0.478734,0.367962,0.35143,0.174693,0.35143,0.152941,0.321,0.321,0.321,0.23548,15.3576,13.3065,32.5317,13.86
2014_Sep_17_18_38_45,http://www.youtube.com/watch?v=XHKtT-_IKXM,0.0626242,0.799054,7.31504,0.903736,0.489426,0.560139,0.702701,0.475642,1.7295,2.96015,1.61962,1.04125,0.845654,26.1167,2.87338,1.20215,0.981999,0.687528,13.1425,2.87338,0.42499,0.191783,0.42499,0.213222,0.402425,0.437426,0.437426,0.308545,0.461366,0.180951,0.461366,0.226412,0.321,0.321,0.321,0.264014,7.32799,6.78449,9.6955,5.04
2014_Sep_17_18_38_46,http://www.youtube.com/watch?v=Q9KFer6XUZ8,0.047476,0.868955,5.17625,0.937611,0.349268,0.334805,0.350784,0.518541,0.51703,2.12967,1.20933,1.22888,0.919661,10.5556,2.588,0.833124,0.938563,0.708414,6.71948,2.588,0.216558,0.191783,0.216558,0.13504,0.402319,0.452155,0.452155,0.35144,0.281076,0.149016,0.281076,0.151743,0.321,0.321,0.321,0.301594,3.74245,3.1295,7.67752,3.6
2014_Sep_17_18_38_47,http://www.youtube.com/watch?v=EpgrjVE9q68,0.087769,0.133568,17.702,2.29251,0.478789,0.971268,0.198881,0.55946,0.745712,3.7031,1.49418,0.381983,33.1432,7.56484,7.61356,1.21601,0.52582,2.33458,2.27798,7.61356,0.425876,0.222428,0.425876,0.239656,0.710535,0.477854,0.710535,0.511795,0.248201,0.213065,0.248201,0.155363,0.321,0.321,0.321,0.222749,20.5357,13.4683,39.6462,10.5034
2014_Sep_17_18_38_48,http://www.youtube.com/watch?v=gq8lbrHBlk0,0.0793921,0.577375,11.7789,1.3767,0.478789,0.57296,0.236475,0.522391,0.868952,3.37234,1.52268,0.691059,0.570688,3.52622,5.5808,0.880944,0.613948,0.478933,1.2206,5.5808,0.416755,0.3062,0.416755,0.255457,0.474443,0.45169,0.474443,0.433771,0.47567,0.190024,0.47567,0.204625,0.321,0.321,0.321,0.226753,12.5249,9.66496,22.8669,7.95729
2014_Sep_17_18_38_49,http://www.youtube.com/watch?v=YIGkNbJBNoc,0.0325753,0.868984,21.21,1.17522,0.497701,1.28065,1.24652,0.553645,1.3772,4.34118,1.98295,0.967731,7.62345,8.9635,8.12522,1.70301,1.1477,1.23892,5.39322,8.12522,0.500348,0.198183,0.500348,0.140814,0.587208,0.482862,0.587208,0.258268,0.439555,0.127459,0.439555,0.0911316,0.321,0.321,0.321,0.233618,15.044,8.56171,39.8332,15.6497
