traj_id,url,clearance,smoothness,path_length,max_acc,r_wrist_roll_link_length,r_wrist_roll_link_smoothness,r_wrist_roll_link_max_curvature,r_wrist_roll_link_h_traj_line,r_wrist_roll_link_h_line_traj,r_wrist_roll_link_H_traj_line,r_wrist_roll_link_imh_traj_line,r_wrist_roll_link_DTW,r_wrist_roll_link_lin_acc,r_elbow_flex_link_length,r_elbow_flex_link_smoothness,r_elbow_flex_link_max_curvature,r_elbow_flex_link_h_traj_line,r_elbow_flex_link_h_line_traj,r_elbow_flex_link_H_traj_line,r_elbow_flex_link_imh_traj_line,r_elbow_flex_link_DTW,r_elbow_flex_link_lin_acc,maxmin_joint_limit_distance
2014_Sep_17_18_38_40,http://www.youtube.com/watch?v=ywg2lbEDRdk,0.0767461,0.621492,19.6869,0.70468,2.00388,0.724533,1.20523,0.716402,0.230548,0.716402,0.287125,24.4248,2.15043,1.22806,0.514756,0.610636,0.620697,0.386749,0.620697,0.270761,28.7274,1.28644,0.499765
2014_Sep_17_18_38_41,http://www.youtube.com/watch?v=kNImX34xGlM,0.0660168,0.819735,4.28962,0.215003,0.751975,0.873202,0.603769,0.338336,0.226028,0.338336,0.217358,3.85607,2.58341,0.443853,0.178167,0.659107,0.423819,0.398024,0.423819,0.214608,4.6344,0.644125,0.422552
2014_Sep_17_18_38_42,http://www.youtube.com/watch?v=yo47Wg-43iA,0.0657998,0.991425,5.76591,0.331712,0.703859,0.514848,0.669503,0.310321,0.253854,0.310321,0.217296,5.3936,1.34299,0.469796,0.123295,0.619168,0.424179,0.398024,0.424179,0.20557,7.27187,0.742935,0.496883
2014_Sep_17_18_38_43,http://www.youtube.com/watch?v=zba9snrwivQ,0.0362367,0.662493,15.5075,1.09337,0.659613,1.06823,1.57252,0.214173,0.203476,0.214173,0.118623,10.2109,2.31356,0.683201,1.50676,0.607345,0.4241,0.451571,0.451571,0.357672,25.6569,0.663667,0.499813
2014_Sep_17_18_38_44,http://www.youtube.com/watch?v=fvNdPGMSAkc,0.042808,0.753948,19.6176,1.63204,1.4741,0.938473,1.61752,0.283245,0.303547,0.303547,0.151835,18.4732,2.67925,1.13806,1.01111,0.658446,0.478735,0.531346,0.531346,0.366017,36.4736,0.665076,0.498738
2014_Sep_17_18_38_45,http://www.youtube.com/watch?v=XHKtT-_IKXM,0.0626242,0.799054,7.31504,0.209073,1.20215,0.981999,0.687528,0.425401,0.309166,0.425401,0.214899,7.8847,5.48697,0.560139,0.702701,0.475642,0.402379,0.505989,0.505989,0.300555,11.2467,0.475374,0.489426
2014_Sep_17_18_38_46,http://www.youtube.com/watch?v=Q9KFer6XUZ8,0.047476,0.868955,5.17625,0.142181,0.833124,0.938563,0.708414,0.219766,0.302201,0.302201,0.140959,4.53497,2.49477,0.334805,0.350784,0.518541,0.402189,0.553222,0.553222,0.344395,9.04824,0.451246,0.349268
2014_Sep_17_18_38_47,http://www.youtube.com/watch?v=EpgrjVE9q68,0.087769,0.133568,17.702,1.15331,1.21601,0.52582,2.33458,0.45182,0.323373,0.45182,0.276066,24.9718,2.27798,0.971268,0.198881,0.55946,0.730602,0.528961,0.730602,0.527682,43.2713,0.745712,0.478789
2014_Sep_17_18_38_48,http://www.youtube.com/watch?v=gq8lbrHBlk0,0.0793921,0.577375,11.7789,0.368218,0.880944,0.613948,0.478933,0.41617,0.333691,0.41617,0.282585,15.3601,1.2206,0.57296,0.236475,0.614657,0.51414,0.528683,0.528683,0.454282,25.5475,0.477122,0.478789
2014_Sep_17_18_38_49,http://www.youtube.com/watch?v=YIGkNbJBNoc,0.0325753,0.868984,21.21,0.807772,1.70301,1.1477,1.23892,0.500325,0.198109,0.500325,0.140812,15.0076,5.39322,1.28065,1.24652,0.553645,0.587224,0.482862,0.587224,0.256674,39.768,1.3772,0.497701
2014_Sep_17_18_38_50,http://www.youtube.com/watch?v=Y4F6Z7XDcvg,0.0530708,0.553005,15.9597,0.655618,1.5126,0.586903,7.01666,0.361951,0.229884,0.361951,0.23586,15.9733,0.837399,1.44922,0.932461,0.606505,0.680155,0.45008,0.680155,0.32196,24.5093,0.872018,0.495719
2014_Sep_17_18_38_51,http://www.youtube.com/watch?v=gMcOJlcKbwE,0.061935,0.34623,15.4529,0.144723,1.97725,0.674877,4.2514,0.660082,0.205954,0.660082,0.291768,19.8309,2.03827,1.25704,0.469052,0.628432,0.693114,0.482862,0.693114,0.418315,30.805,0.433523,0.450393
2014_Sep_17_18_38_52,http://www.youtube.com/watch?v=DqTFbKSMj4k,0.0512204,0.372158,20.365,1.59572,1.76312,0.72959,3.1218,0.325877,0.235813,0.325877,0.193481,16.6439,3.32968,1.39339,0.920247,0.550997,0.55975,0.47433,0.55975,0.288039,30.7096,1.08313,0.498492
2014_Sep_17_18_38_53,http://www.youtube.com/watch?v=rsgVi1h-REU,0.054529,0.486651,17.508,0.156794,2.35899,0.70623,1.59949,0.469462,0.188364,0.469462,0.295247,21.6975,2.47566,1.47045,0.743429,0.554635,0.487773,0.445253,0.487773,0.3034,25.0378,0.431582,0.482823
2014_Sep_17_18_38_54,http://www.youtube.com/watch?v=dA60SM3BTp4,0.0697416,0.277012,16.305,0.212866,1.75729,0.70331,0.588116,0.377028,0.218917,0.377028,0.24088,16.5511,1.52168,1.05518,0.370924,0.578062,0.521457,0.457014,0.521457,0.341224,26.0276,0.45416,0.498388
2014_Sep_17_18_38_55,http://www.youtube.com/watch?v=7lNf-qvsGb8,0.0197954,6.21725e-16,1.93872,0.139692,0.263972,0.00537498,0.930094,0.237796,0.302827,0.302827,0.218908,2.4757,0.926825,0.168751,0.00529786,0.602388,0.454357,0.523779,0.523779,0.40912,4.79348,0.385478,0.489462
