traj_id,url,clearance,smoothness,path_length,max_acc,maxmin_joint_limit_distance,elbow_length,elbow_smoothness,elbow_max_curvature,elbow_lin_acc,elbow_quat_dist,tool_length,tool_smoothness,tool_max_curvature,tool_lin_acc,tool_quat_dist,wrist_length,wrist_smoothness,wrist_max_curvature,wrist_lin_acc,wrist_quat_dist,h_wrist_bfs,h_bfs_wrist,H_wrist_bfs,imh_wrist_bfs,h_elbow_bfs,h_bfs_elbow,H_elbow_bfs,imh_elbow_bfs,h_tool_bfs,h_bfs_tool,H_tool_bfs,imh_tool_bfs,h_wrist_elbow,h_elbow_wrist,H_wrist_elbow,imh_wrist_elbow,wrist_bfs_dtw,tool_bfs_dtw,elbow_bfs_dtw,wrist_tool_dtw
2014_Sep_17_18_38_40,http://www.youtube.com/watch?v=ywg2lbEDRdk,0.0767461,0.621492,19.6869,1.44371,0.499765,1.22806,0.514756,0.522536,1.28644,4.25955,2.76092,0.886822,1.40877,5.00081,9.66085,2.00388,0.724533,1.20443,6.18302,9.66085,0.71624,0.230806,0.71624,0.287145,0.620697,0.386749,0.620697,0.274448,0.725598,0.324456,0.725598,0.313013,0.321,0.321,0.321,0.27862,24.4889,26.0793,28.8856,13.8448
2014_Sep_17_18_38_41,http://www.youtube.com/watch?v=kNImX34xGlM,0.0660168,0.819735,4.28962,0.681413,0.422552,0.443853,0.178167,0.490182,0.644125,2.06769,0.990336,1.02512,0.796117,9.77172,1.9692,0.751975,0.873202,0.603769,6.81836,1.9692,0.339575,0.242133,0.339575,0.220074,0.423803,0.398024,0.423803,0.227455,0.300328,0.235738,0.300328,0.180621,0.321,0.321,0.321,0.272577,3.88457,3.38652,4.78016,2.86899
2014_Sep_17_18_38_42,http://www.youtube.com/watch?v=yo47Wg-43iA,0.0657998,0.991425,5.76591,1.71165,0.496883,0.469796,0.123295,0.503909,2.30819,1.68813,1.05064,0.895885,0.751547,5.76953,3.13122,0.703859,0.514848,0.582949,4.52164,3.13122,0.307069,0.266879,0.307069,0.216977,0.424391,0.398024,0.424391,0.215043,0.307738,0.239507,0.307738,0.174727,0.321,0.321,0.321,0.266257,5.43246,4.94247,7.45064,3.96
2014_Sep_17_18_38_43,http://www.youtube.com/watch?v=zba9snrwivQ,0.0362367,0.662493,15.5075,1.09337,0.499813,0.683201,1.50676,0.607345,1.19537,2.82842,1.21876,0.63073,0.763181,2.33135,7.11241,0.659613,1.06823,1.57252,2.31356,7.11241,0.214155,0.203347,0.214155,0.11862,0.424143,0.451649,0.451649,0.35959,0.262503,0.185497,0.262503,0.158088,0.321,0.321,0.321,0.289146,10.2444,10.4393,25.6999,10.9732
2014_Sep_17_18_38_44,http://www.youtube.com/watch?v=fvNdPGMSAkc,0.042808,0.753948,19.6176,1.72329,0.498738,1.13806,1.01111,0.658446,1.48765,4.00026,2.33687,1.04464,1.98685,12.4251,9.23207,1.4741,0.938473,1.61752,3.30831,9.23207,0.283227,0.303684,0.303684,0.151837,0.478735,0.531453,0.531453,0.367957,0.35143,0.174693,0.35143,0.144063,0.321,0.321,0.321,0.235366,18.4759,13.6731,36.4713,13.86
2014_Sep_17_18_38_45,http://www.youtube.com/watch?v=XHKtT-_IKXM,0.0626242,0.799054,7.31504,0.903736,0.489426,0.560139,0.702701,0.475642,1.7295,2.96015,1.61962,1.04125,0.845654,26.1167,2.87338,1.20215,0.981999,0.687528,13.1425,2.87338,0.425916,0.30874,0.425916,0.215108,0.402427,0.505854,0.505854,0.308225,0.460721,0.181932,0.460721,0.210982,0.321,0.321,0.321,0.263482,7.87248,6.7711,11.2033,5.04
2014_Sep_17_18_38_46,http://www.youtube.com/watch?v=Q9KFer6XUZ8,0.047476,0.868955,5.17625,0.937611,0.349268,0.334805,0.350784,0.518541,0.51703,2.12967,1.20933,1.22888,0.919661,10.5556,2.588,0.833124,0.938563,0.708414,6.71948,2.588,0.217118,0.302272,0.302272,0.139491,0.402321,0.55323,0.55323,0.351078,0.279648,0.149708,0.279648,0.13399,0.321,0.321,0.321,0.300748,4.5695,3.16266,9.05903,3.6
2014_Sep_17_18_38_47,http://www.youtube.com/watch?v=EpgrjVE9q68,0.087769,0.133568,17.702,2.29251,0.478789,0.971268,0.198881,0.55946,0.745712,3.7031,1.49418,0.381983,33.1432,7.56484,7.61356,1.21601,0.52582,2.33458,2.27798,7.61356,0.45182,0.323352,0.45182,0.276074,0.730602,0.528888,0.730602,0.531638,0.281835,0.240674,0.281835,0.170238,0.321,0.321,0.321,0.222961,24.9666,15.7019,43.2833,10.5034
2014_Sep_17_18_38_48,http://www.youtube.com/watch?v=gq8lbrHBlk0,0.0793921,0.577375,11.7789,1.3767,0.478789,0.57296,0.236475,0.522391,0.868952,3.37234,1.52268,0.691059,0.570688,3.52622,5.5808,0.880944,0.613948,0.478933,1.2206,5.5808,0.416524,0.333768,0.416524,0.282611,0.51414,0.528804,0.528804,0.4603,0.475954,0.210441,0.475954,0.214789,0.321,0.321,0.321,0.22697,15.2913,11.4879,25.5594,7.95729
2014_Sep_17_18_38_49,http://www.youtube.com/watch?v=YIGkNbJBNoc,0.0325753,0.868984,21.21,1.17522,0.497701,1.28065,1.24652,0.553645,1.3772,4.34118,1.98295,0.967731,7.62345,8.9635,8.12522,1.70301,1.1477,1.23892,5.39322,8.12522,0.500348,0.198183,0.500348,0.140814,0.587208,0.482862,0.587208,0.258268,0.439555,0.127459,0.439555,0.0911316,0.321,0.321,0.321,0.233618,15.044,8.56171,39.8332,15.6497
