Rank,1,2,3,4,5,6,7,8,9,10
clearance,2014_Sep_17_18_39_40,2014_Sep_17_18_39_38,2014_Sep_17_18_39_42,2014_Sep_17_18_39_30,2014_Sep_17_18_39_04,2014_Sep_17_18_39_10,2014_Sep_17_18_40_04,2014_Sep_17_18_39_26,2014_Sep_17_18_39_11,2014_Sep_17_18_39_01
smoothness,2014_Sep_17_18_40_21,2014_Sep_17_18_38_42,2014_Sep_17_18_39_44,2014_Sep_17_18_39_40,2014_Sep_17_18_39_05,2014_Sep_17_18_39_31,2014_Sep_17_18_39_35,2014_Sep_17_18_39_49,2014_Sep_17_18_39_32,2014_Sep_17_18_39_51
path_length,2014_Sep_17_18_40_09,2014_Sep_17_18_39_17,2014_Sep_17_18_40_06,2014_Sep_17_18_39_42,2014_Sep_17_18_40_18,2014_Sep_17_18_40_21,2014_Sep_17_18_39_52,2014_Sep_17_18_40_12,2014_Sep_17_18_38_49,2014_Sep_17_18_38_52
max_acc,2014_Sep_17_18_40_10,2014_Sep_17_18_40_21,2014_Sep_17_18_39_08,2014_Sep_17_18_39_20,2014_Sep_17_18_39_53,2014_Sep_17_18_38_47,2014_Sep_17_18_39_09,2014_Sep_17_18_39_00,2014_Sep_17_18_38_50,2014_Sep_17_18_39_57
maxmin_joint_limit_distance,2014_Sep_17_18_40_09,2014_Sep_17_18_39_55,2014_Sep_17_18_40_22,2014_Sep_17_18_38_43,2014_Sep_17_18_39_48,2014_Sep_17_18_38_40,2014_Sep_17_18_40_21,2014_Sep_17_18_40_06,2014_Sep_17_18_39_18,2014_Sep_17_18_39_51
elbow_length,2014_Sep_17_18_40_09,2014_Sep_17_18_40_06,2014_Sep_17_18_39_42,2014_Sep_17_18_39_17,2014_Sep_17_18_40_12,2014_Sep_17_18_40_10,2014_Sep_17_18_40_21,2014_Sep_17_18_38_53,2014_Sep_17_18_40_22,2014_Sep_17_18_38_50
elbow_smoothness,2014_Sep_17_18_39_49,2014_Sep_17_18_39_56,2014_Sep_17_18_39_35,2014_Sep_17_18_38_43,2014_Sep_17_18_40_07,2014_Sep_17_18_39_46,2014_Sep_17_18_38_49,2014_Sep_17_18_39_22,2014_Sep_17_18_39_44,2014_Sep_17_18_39_51
elbow_max_curvature,2014_Sep_17_18_39_51,2014_Sep_17_18_39_39,2014_Sep_17_18_39_23,2014_Sep_17_18_39_49,2014_Sep_17_18_39_34,2014_Sep_17_18_39_52,2014_Sep_17_18_39_28,2014_Sep_17_18_39_35,2014_Sep_17_18_38_44,2014_Sep_17_18_40_01
elbow_lin_acc,2014_Sep_17_18_39_41,2014_Sep_17_18_39_47,2014_Sep_17_18_39_30,2014_Sep_17_18_39_05,2014_Sep_17_18_38_42,2014_Sep_17_18_39_22,2014_Sep_17_18_40_16,2014_Sep_17_18_39_06,2014_Sep_17_18_39_10,2014_Sep_17_18_39_51
elbow_quat_dist,2014_Sep_17_18_40_09,2014_Sep_17_18_40_06,2014_Sep_17_18_39_17,2014_Sep_17_18_39_42,2014_Sep_17_18_38_53,2014_Sep_17_18_40_12,2014_Sep_17_18_40_21,2014_Sep_17_18_40_18,2014_Sep_17_18_39_52,2014_Sep_17_18_39_50
